Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
CAMISA CHIFFON ESTAM,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,159.9
CAMISA CHIFFON ILHOS,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.9,99.9
CAMISA CHIFFON ONCA,Confeccao,CAMISA,27/02/13,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.88,79.9
CAMISA CHIFFON RENDA,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.9,99.9
CAMISA CHIFFON S/M,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.9
CAMISA CHIFFON TULE,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
CAMISA CHIFON,Confeccao,BLUSA,05/09/12,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,124.9
CAMISA CHIFON,Confeccao,CAMISA,30/08/12,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.9,93.23333333333335
CAMISA CHIFON C/BOLSO,Confeccao,CAMISA,08/08/12,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.9,89.9
CAMISA CHIFON C/FOIL,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,119.9
CAMISA CHIFON DIGITAL,Confeccao,CAMISA,05/04/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.9,129.9
CAMISA COM DETALHE EM CETIM,Confeccao,CAMISA,22/05/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81.9,149.9
CAMISA COM FRECORTES,Confeccao,CAMISA,12/03/15,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,109.9,199.9
CAMISA COM SEXT GOLA,Confeccao,CAMISA,20/03/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,159.9
CAMISA CORUJINHAS,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,159.9
CAMISA CREPE,Confeccao,CAMISA,23/11/12,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
CAMISA CREPE EST.,Confeccao,CAMISA,25/04/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.85,129.9
CAMISA CREPE/TULE,Confeccao,CAMISA,05/04/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,77.9,139.9
CAMISA DE CETIM PASSAROS,Confeccao,CAMISA,12/03/14,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,149.9
CAMISA DE CHIFFON EST,Confeccao,CAMISA,25/04/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.85,129.9
CAMISA DE RENDA,Confeccao,CAMISA,14/09/13,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,57.5,109.9
CAMISA DE SEDA,Confeccao,CAMISA,08/08/12,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,109.9
CAMISA DE VISCOSE,Confeccao,CAMISA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,159.9
CAMISA DEC V,Confeccao,CAMISA,01/08/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.9,44.9
CAMISA DEC V C/ESTAMPA,Confeccao,CAMISA,30/07/13,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.9,69.9
CAMISA DEC. UNICOR,Confeccao,CAMISA,11/07/13,00/00/00,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.34,49.9
CAMISA DEC.V,Confeccao,CAMISA,30/07/13,00/00/00,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.583333333333332,73.23333333333333
CAMISA DECOTE V,Confeccao,CAMISA,01/08/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.9,39.9
CAMISA DEGRADE,Confeccao,CAMISA,15/04/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,113.36,199.9
CAMISA DET. BOLINHAS,Confeccao,CAMISA,27/02/13,00/00/00,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.6,79.9
CAMISA DET. BOLSO,Confeccao,CAMISA,27/02/13,00/00/00,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.93,69.9
CAMISA DOUBLE,Confeccao,CAMISA,27/02/13,00/00/00,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.32,79.9
CAMISA DRESS,Confeccao,BLUSA,06/08/19,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99945,179.9
CAMISA ELASTANO,Confeccao,CAMISA,26/03/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.9,59.9
CAMISA EST,Confeccao,CAMISA,29/05/15,00/00/00,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.400000000000006,99.9
CAMISA EST AMARRAR,Confeccao,CAMISA,05/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,119.9
CAMISA EST. COBRA,Confeccao,CAMISA,25/04/13,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.65,139.9
CAMISA EST. ONCA,Confeccao,CAMISA,27/02/13,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.32,79.9
CAMISA EST.CIDADE,Confeccao,CAMISA,25/07/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,79.9,129.9
CAMISA ESTAM,Confeccao,CAMISA,22/05/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
CAMISA ESTAM DEC V,Confeccao,CAMISA,01/08/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.9,49.9
CAMISA ESTAMPA,Confeccao,CAMISA,19/03/15,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.13,139.9
CAMISA ESTAMPADA,Confeccao,BLUSA,09/03/12,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.9,79.9
CAMISA ESTAMPADA,Confeccao,CAMISA,16/09/14,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99.9,199.9
CAMISA FELDSPATO,Confeccao,CAMISA,22/05/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,85.9,169.9
