ID_Produto,Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
4382,TENIS AD. SOLA EVA,Sapato Feminino,TENIS,2011-10-13,,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.425,89.9
4383,TENIS AD. SOLA EVA,Sapato Masculino,TENIS,2011-10-04,,72,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.95,89.9
4384,TENIS ADULTO,Sapato Feminino,TENIS,2013-03-01,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58.0,119.9
4385,TENIS ADULTO,Sapato Masculino,TENIS,2013-03-22,,186,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.2090909090909,115.35454545454546
4386,TENIS ADULTO,Tenis Adulto,TENIS,2013-08-29,,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,86.72000000000001,179.9
4387,TENIS ALL,Sapato Masculino,TENIS,2012-12-10,,41,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.43333333333334,106.56666666666668
4388,TENIS ALL STAR,Sapato Feminino,TENIS,2011-12-19,,111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,50.05,99.90285714285714
4389,TENIS ALL STAR,Sapato Masculino,TENIS,2015-08-24,,298,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.875,95.61714285714288
4390,TENIS ALL STAR,Tenis Adulto,******************************,2011-03-17,,68,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.45,89.9
4391,TENIS ALL STAR,Tenis Adulto,TENIS,2013-04-16,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,114.9
4392,TENIS ALLSTAR,Sapato Feminino,TENIS,2011-11-22,,99,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.30714285714286,128.4714285714286
4393,TENIS ARTERIAL W,Sapato Feminino,TENIS,2015-03-20,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,93.56,189.9
4394,TENIS AS,Sapato Masculino,TENIS,2011-03-19,,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.275000000000006,98.24333333333334
