ID_Unico;Referencia;Custo Venda    ;Vr.Venda       ;Reposicao      ;Pr.Venda       
S32_100_0;S32;160;319,58;32;69,9
2530_100_0;2530;209,4;319,69;31,41;69,9
045359891_100_0;45359891;133,28;319,2;16,67;39,9
281502_100_0;281502;239,8;319,85;107,91;219,9
331502_100_0;331502;184,9;319,9;166,41;319,9
291503_100_0;291503;329,8;319,97;164,9;279,9
80109_100_0;80109;159,8;319,74;39,95;159,9
3336_100_0;3336;158;319,8;79;159,9
939_100_0;939;189,9;319,9;189,9;319,9
272034_100_0;272034;389,7;319,9;129,9;239,9
CB35_100_0;CB35;175;319,58;35;69,9
120687_100_0;120687;156,96;319,6;42,11;79,9
MS_100_0;MS;160;319,2;20;39,9
8333_100_0;8333;230,94;319,9;76,99;149,9
LEVITOR_100_0;LEVITOR;210;319,9;70;139,9
95544_100_0;95544;91,08;319,8;48,87;159,9
CALCA1_100_0;CALCA1;180;319,7;45;89,9
613800_100_0;613800;99,9;319,83;49,95;199,9
728311_100_0;728311;157,14;319,8;78,57;159,9
102370_100_0;102370;199,8;319,83;95,41;199,9
03276_100_0;3276;179,8;319,8;89,9;159,9
2857_100_0;2857;160;319,55;40;79,9
GABINEX_100_0;GABINEX;200;319,4;20;39,9
46010121_100_0;46010121;245,4;319,77;40,9;79,9
46010036_100_0;46010036;359,1;319,66;35,91;79,9
BLUSA8_100_0;BLUSA8;160;319,2;20;39,9
BLNL_100_0;BLNL;196;319,8;49;99,9
BLLAIS_100_0;BLLAIS;196;319,73;49;99,9
32220_100_0;32220;184;319,8;46;99,9
14_100_0;14;159,6;319,6;39,9;79,9
BL352_100_0;BL352;140;319,6;35;79,9
BL400_100_0;BL400;160;319,6;40;79,9
SA02_100_0;SA02;299,7;319,9;99,9;199,9
BLU07_100_0;BLU07;179,4;319,78;29,9;59,9
BLU03_100_0;BLU03;177;319,8;59;119,9
B54150005_100_0;B54150005;159,8;319,8;75,9;159,9
BLVERAO_100_0;BLVERAO;159,2;319,2;19,9;39,9
103356_100_0;103356;216,18;319,91;72,06;149,9
79_100_0;79;319,6;319,98;79,9;149,9
VA2211_100_0;VA2211;166,86;319,6;27,76;59,9
52053_100_0;52053;204,5;319,7;20,45;39,9
ED39_100_0;ED39;159,6;319,6;35,9;79,9
68768_100_0;68768;159,84;319,37;26,64;59,9
1868_100_0;1868;203,4;319,56;30,51;59,9
11677_100_0;11677;179,8;319,8;89,9;159,9
BC35_100_0;BC35;175;319,58;35;69,9
4600023_100_0;4600023;79,9;319,8;42,87;159,9
301275_100_0;301275;339,6;319,89;84,9;159,9
182523_100_0;182523;171,81;317,48;57,27;119,9
74510013_100_0;74510013;144,64;316,94;19,4;39,9
BB5532_100_0;BB5532;223,6;316,83;53,11;99,9
3450_100_1;3450;175,6;315,2;39,51;89,9
3121_100_0;3121;179,8;314,57;89,9;159,9
CL42151_100_0;CL42151;229,9;314,9;218,41;449,9
30900_100_0;30900;219,5;314,01;39,51;89,9
206097_100_0;206097;239,6;314,62;53,91;99,9
110193709_100_0;110193709;216;314,8;50,76;99,9
190180019_100_0;190180019;179,6;314,8;44,9;89,9
7245001_100_0;7245001;149,76;313,55;17,86;34,9
693G_100_0;693G;269,7;311,87;89,9;159,9
K32877_100_0;K32877;156;311,8;73,32;159,9
11301_100_0;11301;179,8;311,8;89,9;159,9
4177_100_0;4177;111,84;310,09;25,16;129,9
CPLEIA_100_0;CPLEIA;196;309,8;49;99,9
B59110005_100_0;B59110005;319,8;309,92;159,9;299,9
70202202_100_0;70202202;177;309,8;55,46;119,9
6013_100_0;6013;177;309,8;59;119,9
435318_100_0;435318;76,64;309,9;17,24;99,9
BLLISTRA_100_0;BLLISTRA;179,4;309,9;29,9;59,9
JM_100_0;JM;130;309,47;10;29,9
Y2J_100_0;Y2J;210;309,48;35;69,9
LX1034_100_0;LX1034;177;309,76;30,98;119,9
1070_100_0;1070;299,7;309,74;89,9;169,9
30710_100_0;30710;199,8;307,47;89,91;179,9
182494_100_0;182494;157,5;307,01;22,5;49,9
11974_100_0;11974;174,3;306,98;24,9;49,9
E13777_100_0;E13777;165,83;306,97;23,69;49,9
110194008_100_0;110194008;216;305;50,76;99,9
BL15_100_1;BL15;135;305,64;15;49,9
3181_100_0;3181;177;303,8;59;119,9
7652_100_0;7652;79,9;303,8;39,95;159,9
MINAS_100_0;MINAS;179,7;303,8;59,9;119,9
PEROLA_100_0;PEROLA;200;302,82;50;99,9
530_100_0;530;239,7;302,4;79,9;149,9
311295_100_0;311295;249,5;302,68;48,35;89,9
312032_100_0;312032;291,8;301,84;131,31;259,9
361302_100_0;361302;425,8;300;212,9;399,9
B57590005_100_0;B57590005;319,8;300;159,9;299,9
VE1499_100_1;VE1499;225;300;75;149,9
64809_100_0;64809;240;300;120;199,9
7730_100_0;7730;299,9;300;284,9;499,9
VE279_100_0;VE279;279,9;300;252,01;499,9
3662_100_0;3662;92,98;300;46,5;289,9
B51890105_100_0;B51890105;279,8;300;139,9;249,9
B51310005_100_0;B51310005;259,8;300;129,9;239,9
9240_100_0;9240;189,9;300;189,9;349,9
10703_100_0;10703;229,9;300;229,9;399,9
107070_100_0;107070;299,9;300;299,9;499,9
MC999_100_0;MC999;250;300;50;99,9
B55310005_100_0;B55310005;279,8;300;132,9;279,9
63618_100_0;63618;134,98;300;67,5;399,9
200160036_100_0;200160036;116,7;300;19,45;79,9
5647921_100_0;5647921;259,8;300;116,85;249,9
B58640005_100_0;B58640005;319,8;300;159,9;299,9
CJL279_100_0;CJL279;559,8;300;279,9;399,9
3609_100_0;3609;259,8;300;129,9;249,9
2380036_100_0;2380036;259,8;300;129,9;249,9
77310_100_0;77310;239,9;300;227,9;399,9
LP14580_100_0;LP14580;199,53;300;71,38;129,9
LP14490_100_0;LP14490;199,53;300;71,38;129,9
52750_100_0;52750;279,8;300;139,9;249,9
CL50_100_2;CL50;250;300;50;99,9
351211_100_0;351211;284,7;300;85,41;169,9
14853_100_0;14853;279,8;300;150,14;259,9
351225_100_0;351225;209,7;300;62,91;129,9
5307_100_0;5307;279,8;300;139,9;249,9
46010276_100_0;46010276;116,7;300;19,45;79,9
B55340005_100_0;B55340005;299,7;300;94,9;199,9
1081_100_0;1081;108;299,9;54;199,9
SALVADOR_100_0;SALVADOR;149,9;299,9;149,9;299,9
VE503_100_0;VE503;150;299,7;50;99,9
VE99_100_0;VE99;250;299,9;50;99,9
VE8_100_0;VE8;240;299,85;80;159,9
S93654_100_0;S93654;43,49;299,9;43,5;299,9
VE57_100_0;VE57;140;299,8;70;149,9
PLUS_100_0;PLUS;160;299,8;40;89,9
301312_100_0;301312;269,7;299,97;89,9;159,9
3319_100_0;3319;159,8;299,8;79,9;149,9
VE179_100_0;VE179;179,9;299,9;161,89;299,9
50550_100_0;50550;299,7;299,98;99,9;199,9
291310_100_0;291310;319,8;299,91;159,9;279,9
4088_100_0;4088;189,9;299,9;171,02;299,9
19005_100_0;19005;173,7;299,65;52,11;99,9
B42420005_100_0;B42420005;164,7;299,7;54,9;99,9
110047_100_0;110047;77,1;299,7;25,7;99,9
5950_100_0;5950;150;299,7;50;99,9
009013_100_1;9013;69,75;299,5;13,95;59,9
0097860_100_0;97860;72,25;299,5;15,51;59,9
951_100_0;951;149,4;299,4;24,9;49,9
182500_100_0;182500;184,08;299,76;30,68;69,9
422000_100_0;422000;79,2;299,4;13,2;49,9
MACACAO3_100_0;MACACAO3;150;299,7;50;99,9
B49450005_100_0;B49450005;279,8;299,96;139,9;249,9
RM299_100_0;RM299;179,9;299,9;97,77;299,9
281503_100_0;281503;329,7;299,93;98,91;199,9
B49790005_100_0;B49790005;219,8;299,9;109,9;199,9
6794_100_0;6794;119,6;299,8;29,9;99,9
371213_100_0;371213;159,8;299,8;79,9;149,9
B57220005_100_0;B57220005;159,8;299,8;79,9;149,9
02132_100_0;2132;150;299,5;30;59,9
3340_100_0;3340;148;299,8;74;149,9
CJ75_100_1;CJ75;150;299,8;75;149,9
B55460005_100_0;B55460005;159,9;299,9;151,9;299,9
2380033_100_0;2380033;299,8;299,96;149,9;269,9
322014_100_0;322014;159,9;299,9;159,9;299,9
312028_100_0;312028;219,8;299,85;106,49;199,9
3245_100_0;3245;239,8;299,9;119,9;199,9
B44980005_100_0;B44980005;199,8;299,9;99,9;199,9
2931_100_0;2931;159,8;299,8;79,9;149,9
B42790105_100_0;B42790105;159,8;299,8;79,9;149,9
B42650005_100_0;B42650005;159,8;299,8;79,9;149,9
21813_100_0;21813;145,8;299,8;78,24;149,9
B49630005_100_0;B49630005;339,8;299,86;169,9;299,9
B43560005_100_0;B43560005;179,7;299,7;59,9;99,9
TE10754_100_0;TE10754;145,8;299,8;78,24;149,9
52860_100_0;52860;239,8;299,9;119,9;199,9
10443_100_0;10443;259,8;299,81;124,06;249,9
311901_100_0;311901;219,8;299,9;106,49;199,9
72437_100_0;72437;140,13;299,7;46,71;99,9
301905_100_0;301905;308,7;299,9;102,9;179,9
1182_100_0;1182;299,7;299,97;99,9;179,9
190103_100_0;190103;248;299,86;62;129,9
560500_100_0;560500;109,35;299,82;36,45;139,9
CL40830_100_0;CL40830;365,8;299,9;173,76;319,9
CL41007_100_0;CL41007;379,8;299,92;180,41;319,9
CL41122_100_0;CL41122;176,9;299,9;159,65;299,9
CL41108_100_0;CL41108;179,9;299,9;162,36;299,9
BRY699_100_0;BRY699;210;299,7;35;69,9
2278_100_0;2278;299,4;299,9;44,91;99,9
2669_100_0;2669;60;299,4;10;49,9
750776_100_0;750776;59,88;299,7;17,96;99,9
2750_100_0;2750;30;299,7;10;99,9
2801_100_0;2801;30;299,7;10;99,9
2682_100_0;2682;30;299,7;10;99,9
M003_100_0;M003;120;299,4;20;49,9
LT18_100_0;LT18;108;299,4;18;49,9
200824_100_0;200824;147;299,7;44,1;99,9
210924_100_0;210924;147;299,7;44,1;99,9
10824_100_0;10824;147;299,7;44,1;99,9
BLBOLHA_100_0;BLBOLHA;147;299,7;49;99,9
3335_100_0;3335;147;299,7;49;99,9
2383B_100_0;2383B;83,85;299,7;27,95;99,9
BL250_100_0;BL250;125;299,5;25;59,9
BL30_100_1;BL30;150;299,5;30;59,9
6301_100_0;6301;227,98;299,9;113,99;199,9
4200_100_0;4200;297;299,82;79,2;169,9
1915_100_0;1915;191,76;299,8;63,92;119,9
00258_100_0;258;129,5;299,5;23,08;59,9
BL49_100_0;BL49;147;299,7;49;99,9
E13781_100_0;E13781;152,82;299,63;25,47;59,9
E13813_100_0;E13813;131,46;299,39;21,91;49,9
68850_100_0;68850;138,6;299,4;23,1;49,9
281201_100_0;281201;251,6;299,81;56,61;119,9
60484_100_0;60484;305,64;299,85;50,94;99,9
600800_100_1;600800;119,85;299,97;39,95;159,9
BLU5_100_0;BLU5;115;298,61;23;59,9
6155355_100_0;6155355;124,32;297,5;20,72;49,9
182497_100_0;182497;143,15;296,5;28,63;59,9
11801_100_0;11801;149,4;296,89;24,9;49,9
JENNI_100_0;JENNI;180;295,52;30;59,9
190724_100_0;190724;147;295,78;44,1;99,9
ONCA2_100_0;ONCA2;150;294,8;50;99,9
2701_100_0;2701;30;294,77;10;99,9
150924_100_0;150924;147;294,8;44,1;99,9
11639_100_0;11639;269,7;293,71;89,9;159,9
182535_100_0;182535;159,54;293,27;53,18;99,9
4110_100_0;4110;159,8;292,3;79,9;149,9
CONJUNTO3_100_0;CONJUNTO3;225;292,4;75;149,9
390_100_0;390;219,8;292,64;109,9;199,9
1238_100_0;1238;145,8;292,3;72,9;149,9
TE10753_100_0;TE10753;145,8;292,3;78,24;149,9
6814_100_0;6814;75,9;292,3;37,95;149,9
K32822_100_0;K32822;146;292,3;68,62;149,9
20064_100_0;20064;269,7;291,56;79,11;159,9
3810_100_0;3810;223,5;289,9;68,57;149,9
VESTIDO3_100_1;VESTIDO3;195;289,9;65;129,9
956_100_0;956;159,9;289,9;159,9;289,9
SH25_100_0;SH25;175;289,6;25;49,9
9470_100_0;9470;159,9;289,9;159,9;289,9
CP25_100_0;CP25;200;289,68;25;49,9
B43170005_100_0;B43170005;199,8;289,9;99,9;189,9
B42680005_100_0;B42680005;159,8;289,9;79,9;149,9
3808_100_0;3808;194;289,9;89,28;199,9
13525_100_0;13525;222;289,8;69,56;149,9
361210_100_0;361210;219,8;289,9;98,91;199,9
82380285_100_0;82380285;198;289,9;99,87;199,9
46010126_100_0;46010126;121;289,88;24,2;89,9
46010118_100_0;46010118;89,75;289,64;17,95;69,9
182465_100_0;182465;153,4;289,8;30,68;69,9
E127365_100_0;E127365;101,15;289,76;14,45;59,9
2293_100_0;2293;204;289,75;30,6;69,9
206106_100_0;206106;179,7;289,66;53,91;99,9
63989_100_0;63989;249,5;288,84;44,91;89,9
12147_100_0;12147;197,8;288,8;98,9;169,9
12255_100_0;12255;197,8;288,81;98,9;169,9
312020_100_0;312020;259,8;287,86;125,87;239,9
4224_100_0;4224;70,24;285,3;15,8;89,9
1872_100_0;1872;159,6;285,67;35,91;79,9
701M_100_0;701M;239,7;284,89;79,9;149,9
10784_100_0;10784;159,9;284,9;152,71;299,9
54822_100_1;54822;159,36;284,12;19,47;39,9
4264_100_0;4264;237;282,37;71,1;149,9
VES50_100_0;VES50;200;280;50;99,9
SA69_100_0;SA69;245;280;35;69,9
6302494_100_0;6302494;220,32;280;36,72;79,9
3703_100_0;3703;60,75;279,9;60,75;279,9
VESTIDO30_100_0;VESTIDO30;150;279,8;50;99,9
VE1399_100_1;VE1399;140;279,8;70;139,9
331308_100_0;331308;199,9;279,91;199,9;349,9
3392_100_0;3392;159,9;279,9;143,91;279,9
291709_100_0;291709;159,8;279,78;79,9;139,9
LUREX_100_0;LUREX;160;279,69;40;79,9
BL08_100_0;BL08;105;279,3;15;39,9
R29_100_0;R29;165;279,27;14,32;29,9
103207_100_0;103207;300,42;279,99;100,14;199,9
