ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
46010396,BODY                          ,12,Confeccao                     ,22,BODY                          ,100,UNICA                         ,29/11/2023,13,02/03/2024,0,0.0,0.0,12,2634.0,7798.0,"196,05",6498.0,2356.0,899.0,46010396_100_0
77120,BLUSAO                        ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,02/05/2023,7,06/06/2024,0,0.0,0.0,7,61236.0,7799.0,"27,36",11141.0,10242.0,1799.0,77120_100_0
82351275,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,01/11/2023,5,08/02/2024,0,0.0,0.0,6,5520.0,7798.0,"41,27",12996.0,9281.0,1899.0,82351275_100_0
CL42022,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,26/05/2022,4,10/11/2022,0,0.0,0.0,3,6297.0,77673.0,"23,35",25891.0,19941.0,3699.0,CL42022_100_0
80310088,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,21/09/2023,7,28/03/2024,2,1358.0,2598.0,7,4753.0,7766.0,"63,39",11094.0,679.0,1299.0,80310088_100_0
K32844,BERMUDA                       ,12,Confeccao                     ,19,BERMUDA                       ,100,UNICA                         ,11/09/2019,10,15/12/2023,0,0.0,0.0,6,3948.0,77679.0,"96,76",12946.0,6185.0,1299.0,K32844_100_0
MACACAO7,MACACAO                       ,12,Confeccao                     ,11,MACACAO                       ,100,UNICA                         ,11/03/2025,7,07/05/2025,3,1950.0,3897.0,6,3900.0,7729.0,"98,18",12881.0,650.0,1299.0,MACACAO7_100_0
72837,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,07/12/2020,7,18/05/2022,0,0.0,0.0,6,37332.0,7729.0,"107,03",12881.0,6222.0,1299.0,72837_100_0
120205001,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,02/03/2021,4,17/11/2021,0,0.0,0.0,6,3660.0,7729.0,"111,17",12881.0,5734.0,1299.0,120205001_100_0
190250084,SHORT                         ,12,Confeccao                     ,18,SHORT                         ,100,UNICA                         ,02/10/2021,8,21/01/2022,0,0.0,0.0,8,2276.0,7693.0,"238,01",9616.0,2845.0,999.0,190250084_100_0
45030,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,10/10/2023,16,18/05/2024,0,0.0,0.0,14,40656.0,7693.0,"89,22",5495.0,3117.0,599.0,45030_100_0
44221,CAMISETA                      ,12,Confeccao                     ,35,CAMISETA                      ,100,UNICA                         ,10/10/2023,17,17/05/2024,0,0.0,0.0,13,36452.0,7688.0,"110,91",5913.0,3009.0,599.0,44221_100_0
103379,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,09/09/2022,3,09/01/2023,0,0.0,0.0,4,51168.0,76779.0,"50,05",19194.0,12792.0,2599.0,103379_100_0
2330006,VESTIDO                       ,12,Confeccao                     ,14,VESTIDO                       ,100,UNICA                         ,24/05/2022,2,11/06/2022,0,0.0,0.0,3,4197.0,7667.0,"82,68",25556.0,1399.0,2599.0,2330006_100_0
753700,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,29/11/2022,4,13/11/2024,0,0.0,0.0,4,1998.0,76649.0,"283,63",19162.0,4995.0,1999.0,753700_100_0
2056B,BLUSA                         ,12,Confeccao                     ,12,BLUSA                         ,100,UNICA                         ,08/08/2022,14,30/08/2023,0,0.0,0.0,11,19745.0,76667.0,"288,29",6969.0,1795.0,699.0,2056B_100_0
CL350,CALCA                         ,12,Confeccao                     ,13,CALCA                         ,100,UNICA                         ,12/03/2024,10,14/05/2024,0,0.0,0.0,11,3850.0,76524.0,"98,76",6956.0,350.0,699.0,CL350_100_0
